Territory, tiles
Åland, 2275
Albania, 8854
Andorra, 179
Austria, 31675
Belarus, 99284
Belgium, 13255
Bosnia and Herzegovina, 17102
Bulgaria, 35352
Croatia, 21240
Cyprus, 1577
Czech Republic, 32272
Denmark, 25517
Estonia, 29603
Finland, 312739
France, 197733
Germany, 154563
Greece, 41306
Hungary, 34337
Iceland, 98582
Ireland, 34730
Italy, 96816
Kosovo, 3590
Latvia, 36862
Lithuania, 34242
Luxembourg, 1145
Macedonia, 7674
Moldova, 12868
Montenegro, 4418
Netherlands, 17565
Norway, 321503
Poland, 139897
Portugal, 27025
Romania, 83208
Serbia, 26231
Slovakia, 19386
Slovenia, 7328
Spain, 148217
Sweden, 372665
Switzerland, 15324
